"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1648","800 Cole St, San Francisco, CA","9","500 Hyde Street, Tenderloin, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1264,978,1632
"1648","800 Cole St, San Francisco, CA","20","900 Sutter Street, Lower Nob Hill, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1229,956,1578
"1648","800 Cole St, San Francisco, CA","21","3400 Pierce Street, Marina District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1306,1068,1596
"1648","800 Cole St, San Francisco, CA","44","1700 Egbert Avenue, Bayview, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1379,1042,1824
"1648","800 Cole St, San Francisco, CA","46","500 Chester Street, West Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1997,1468,2715
"1648","800 Cole St, San Francisco, CA","78","1400 Thomas Avenue, Bayview, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1599,1214,2105
"1648","800 Cole St, San Francisco, CA","79","1500 California Street, Polk Gulch, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1260,987,1608
"1648","800 Cole St, San Francisco, CA","80","0 Farren Street, Western Addition, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",782,605,1010
"1648","800 Cole St, San Francisco, CA","81","0 Berkeley Way, Diamond Heights, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",401,274,586
"1648","800 Cole St, San Francisco, CA","82","2700 25th Street, Mission District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1137,851,1517
"1648","800 Cole St, San Francisco, CA","87","2200 Wyandotte Street, Mountain View","11/15/2016 - 12/15/2016, Every day, Daily Average",2852,2394,3396
"1648","800 Cole St, San Francisco, CA","90","300 Heathcliff Drive, Westview, Pacifica","11/15/2016 - 12/15/2016, Every day, Daily Average",1391,1122,1723
"1648","800 Cole St, San Francisco, CA","91","700 Industrial Road, San Carlos","11/15/2016 - 12/15/2016, Every day, Daily Average",2486,1935,3193
"1648","800 Cole St, San Francisco, CA","98","500 10th Street, Downtown Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1972,1461,2661
"1648","800 Cole St, San Francisco, CA","113","1200 Hayes Street, Western Addition, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",547,400,746
"1648","800 Cole St, San Francisco, CA","117","100 Edgemar Street, Crocker, Daly City","11/15/2016 - 12/15/2016, Every day, Daily Average",1293,1033,1618
"1648","800 Cole St, San Francisco, CA","165","2200 Franklin Street, Pacific Heights, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1208,951,1533
"1648","800 Cole St, San Francisco, CA","181","3400 Richmond Boulevard, Oakland Ave - Harrison St, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",2047,1505,2782
"1648","800 Cole St, San Francisco, CA","186","1800 Vicente Street, Sunset District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",650,475,888
"1648","800 Cole St, San Francisco, CA","206","1300 15th Street, Mission District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1042,772,1404
"1648","800 Cole St, San Francisco, CA","207","1100 Guerrero Street, Mission District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",752,578,978
"1648","800 Cole St, San Francisco, CA","208","600 Alabama Street, Mission District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1088,845,1400
"1648","800 Cole St, San Francisco, CA","209","300 Wilde Avenue, Visitacion Valley, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1110,822,1497
"1648","800 Cole St, San Francisco, CA","210","100 Ramsell Street, Oceanview, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",950,720,1252
"1648","800 Cole St, San Francisco, CA","211","200 16th Avenue, Richmond District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",804,609,1059
"1648","800 Cole St, San Francisco, CA","212","500 Washington Street, Financial District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1794,1393,2310
"1648","800 Cole St, San Francisco, CA","232","1000 Beech Street, East Palo Alto","11/15/2016 - 12/15/2016, Every day, Daily Average",2710,2237,3282
"1648","800 Cole St, San Francisco, CA","234","100 Domestic Terminals Departures Level, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1704,1369,2119
"1648","800 Cole St, San Francisco, CA","242","0 El Pavo Real Circle, San Rafael","11/15/2016 - 12/15/2016, Every day, Daily Average",2309,1787,2981
"1648","800 Cole St, San Francisco, CA","264","300 Irwin Street, San Rafael","11/15/2016 - 12/15/2016, Every day, Daily Average",1917,1493,2461
"1648","800 Cole St, San Francisco, CA","285","1600 Maritime Street, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1829,1317,2539
"1648","800 Cole St, San Francisco, CA","286","1000 10th Street, West Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1958,1443,2655
"1648","800 Cole St, San Francisco, CA","299","Chinatown / North Beach Campus, Russian Hill, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1577,1248,1991
"1648","800 Cole St, San Francisco, CA","302","0 Bass Court, Bayview, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1529,1140,2049
"1648","800 Cole St, San Francisco, CA","304","500 Zook Road, Mountain View","11/15/2016 - 12/15/2016, Every day, Daily Average",3070,2593,3633
"1648","800 Cole St, San Francisco, CA","311","200 Northgate Avenue, Westlake, Daly City","11/15/2016 - 12/15/2016, Every day, Daily Average",990,750,1305
"1648","800 Cole St, San Francisco, CA","314","200 Alta Mesa Drive, Serra Highlands, South San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1270,993,1623
"1648","800 Cole St, San Francisco, CA","315","900 Veterans Boulevard, Redwood City","11/15/2016 - 12/15/2016, Every day, Daily Average",2635,2045,3394
"1648","800 Cole St, San Francisco, CA","321","Nimitz Freeway, Downtown Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",2018,1484,2743
"1648","800 Cole St, San Francisco, CA","322","300 Warwick Avenue, Adams Point, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",2085,1499,2899
"1648","800 Cole St, San Francisco, CA","323","900 Embarcadero West, West Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",2001,1497,2673
"1648","800 Cole St, San Francisco, CA","338","100 Hinman Road, Redwood City","11/15/2016 - 12/15/2016, Every day, Daily Average",2622,2053,3348
"1648","800 Cole St, San Francisco, CA","345","400 Moffett Boulevard, Mountain View","11/15/2016 - 12/15/2016, Every day, Daily Average",3028,2550,3594
"1648","800 Cole St, San Francisco, CA","347","900 Sycamore Drive, Midtown, Palo Alto","11/15/2016 - 12/15/2016, Every day, Daily Average",2903,2414,3489
