"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1706","Bernal Heights, San Francisco, CA","2","400 Northumberland Avenue, Redwood Oaks, Redwood City","11/15/2016 - 12/15/2016, Every day, Daily Average",1994,1630,2438
"1706","Bernal Heights, San Francisco, CA","9","500 Hyde Street, Tenderloin, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1089,769,1541
"1706","Bernal Heights, San Francisco, CA","20","900 Sutter Street, Lower Nob Hill, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1078,786,1476
"1706","Bernal Heights, San Francisco, CA","21","3400 Pierce Street, Marina District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1687,1281,2220
"1706","Bernal Heights, San Francisco, CA","44","1700 Egbert Avenue, Bayview, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",531,374,753
"1706","Bernal Heights, San Francisco, CA","46","500 Chester Street, West Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1233,869,1747
"1706","Bernal Heights, San Francisco, CA","58","5600 Genoa Street, Santa Fe, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1659,1187,2317
"1706","Bernal Heights, San Francisco, CA","78","1400 Thomas Avenue, Bayview, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",597,441,806
"1706","Bernal Heights, San Francisco, CA","79","1500 California Street, Polk Gulch, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1147,842,1561
"1706","Bernal Heights, San Francisco, CA","80","0 Farren Street, Western Addition, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1282,990,1659
"1706","Bernal Heights, San Francisco, CA","81","0 Berkeley Way, Diamond Heights, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",577,400,831
"1706","Bernal Heights, San Francisco, CA","82","2700 25th Street, Mission District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",266,133,531
"1706","Bernal Heights, San Francisco, CA","86","300 Ruth Avenue, Monta Loma, Mountain View","11/15/2016 - 12/15/2016, Every day, Daily Average",2312,1970,2712
"1706","Bernal Heights, San Francisco, CA","87","2200 Wyandotte Street, Mountain View","11/15/2016 - 12/15/2016, Every day, Daily Average",2189,1717,2789
"1706","Bernal Heights, San Francisco, CA","90","300 Heathcliff Drive, Westview, Pacifica","11/15/2016 - 12/15/2016, Every day, Daily Average",1152,822,1613
