"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1277","300 Hayes Street, Civic Center, San Francisco","2","400 Northumberland Avenue, Redwood Oaks, Redwood City","11/15/2016 - 12/15/2016, Every day, Daily Average",2236,1772,2821
"1277","300 Hayes Street, Civic Center, San Francisco","8","700 Carlsbad Court, Petaluma","11/15/2016 - 12/15/2016, Every day, Daily Average",2999,2544,3535
"1277","300 Hayes Street, Civic Center, San Francisco","9","500 Hyde Street, Tenderloin, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",374,241,580
"1277","300 Hayes Street, Civic Center, San Francisco","11","0 Mesa Vista Court, San Ramon","11/15/2016 - 12/15/2016, Every day, Daily Average",2622,2103,3267
"1277","300 Hayes Street, Civic Center, San Francisco","20","900 Sutter Street, Lower Nob Hill, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",360,219,591
"1277","300 Hayes Street, Civic Center, San Francisco","21","3400 Pierce Street, Marina District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",718,516,997
"1277","300 Hayes Street, Civic Center, San Francisco","30","2200 Central Avenue, Alameda","11/15/2016 - 12/15/2016, Every day, Daily Average",1764,1359,2288
"1277","300 Hayes Street, Civic Center, San Francisco","31","5900 San Diego Street, El Cerrito","11/15/2016 - 12/15/2016, Every day, Daily Average",1406,1112,1776
"1277","300 Hayes Street, Civic Center, San Francisco","44","1700 Egbert Avenue, Bayview, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1006,706,1432
"1277","300 Hayes Street, Civic Center, San Francisco","46","500 Chester Street, West Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1148,793,1661
"1277","300 Hayes Street, Civic Center, San Francisco","57","1700 Bayo Vista Avenue, San Pablo","11/15/2016 - 12/15/2016, Every day, Daily Average",1534,1146,2052
"1277","300 Hayes Street, Civic Center, San Francisco","58","5600 Genoa Street, Santa Fe, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1642,1121,2403
"1277","300 Hayes Street, Civic Center, San Francisco","60","33900 Emilia Lane, Ardenwood, Fremont","11/15/2016 - 12/15/2016, Every day, Daily Average",2513,2023,3121
"1277","300 Hayes Street, Civic Center, San Francisco","61","5400 Ridgewood Drive, Ardenwood, Fremont","11/15/2016 - 12/15/2016, Every day, Daily Average",2590,2046,3277
"1277","300 Hayes Street, Civic Center, San Francisco","65","42600 Everglades Park Drive, Blacow, Fremont","11/15/2016 - 12/15/2016, Every day, Daily Average",3051,2459,3785
"1277","300 Hayes Street, Civic Center, San Francisco","78","1400 Thomas Avenue, Bayview, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1105,804,1518
"1277","300 Hayes Street, Civic Center, San Francisco","79","1500 California Street, Polk Gulch, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",413,259,657
"1277","300 Hayes Street, Civic Center, San Francisco","80","0 Farren Street, Western Addition, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",359,240,536
"1277","300 Hayes Street, Civic Center, San Francisco","81","0 Berkeley Way, Diamond Heights, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",932,715,1213
"1277","300 Hayes Street, Civic Center, San Francisco","82","2700 25th Street, Mission District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",476,301,752
"1277","300 Hayes Street, Civic Center, San Francisco","86","300 Ruth Avenue, Monta Loma, Mountain View","11/15/2016 - 12/15/2016, Every day, Daily Average",2629,2170,3184
"1277","300 Hayes Street, Civic Center, San Francisco","87","2200 Wyandotte Street, Mountain View","11/15/2016 - 12/15/2016, Every day, Daily Average",2560,2015,3251
"1277","300 Hayes Street, Civic Center, San Francisco","90","300 Heathcliff Drive, Westview, Pacifica","11/15/2016 - 12/15/2016, Every day, Daily Average",1402,1063,1848
"1277","300 Hayes Street, Civic Center, San Francisco","91","700 Industrial Road, San Carlos","11/15/2016 - 12/15/2016, Every day, Daily Average",1865,1447,2402
"1277","300 Hayes Street, Civic Center, San Francisco","96","2200 Bonar Street, Poets Corner, Berkeley","11/15/2016 - 12/15/2016, Every day, Daily Average",1391,1020,1895
"1277","300 Hayes Street, Civic Center, San Francisco","98","500 10th Street, Downtown Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1199,830,1731
"1277","300 Hayes Street, Civic Center, San Francisco","99","2400 19th Avenue, Highland Terrace, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1435,1113,1849
"1277","300 Hayes Street, Civic Center, San Francisco","102","500 Mount Street, East Richmond, Richmond","11/15/2016 - 12/15/2016, Every day, Daily Average",1583,1097,2282
"1277","300 Hayes Street, Civic Center, San Francisco","103","35500 Ebro Court, Centerville, Fremont","11/15/2016 - 12/15/2016, Every day, Daily Average",2909,2357,3589
"1277","300 Hayes Street, Civic Center, San Francisco","104","4300 Baine Avenue, Centerville, Fremont","11/15/2016 - 12/15/2016, Every day, Daily Average",3066,2434,3860
"1277","300 Hayes Street, Civic Center, San Francisco","108","400 West Sunset Boulevard, Hayward","11/15/2016 - 12/15/2016, Every day, Daily Average",1987,1558,2533
"1277","300 Hayes Street, Civic Center, San Francisco","113","1200 Hayes Street, Western Addition, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",216,133,350
"1277","300 Hayes Street, Civic Center, San Francisco","116","1000 Fulton Street, Roosevelt, Redwood City","11/15/2016 - 12/15/2016, Every day, Daily Average",2290,1792,2925
"1277","300 Hayes Street, Civic Center, San Francisco","117","100 Edgemar Street, Crocker, Daly City","11/15/2016 - 12/15/2016, Every day, Daily Average",1274,944,1717
"1277","300 Hayes Street, Civic Center, San Francisco","118","1500 Sunnyslope Avenue, Belmont","11/15/2016 - 12/15/2016, Every day, Daily Average",1962,1566,2457
"1277","300 Hayes Street, Civic Center, San Francisco","119","1100 Rosewood Avenue, San Carlos","11/15/2016 - 12/15/2016, Every day, Daily Average",2057,1628,2598
"1277","300 Hayes Street, Civic Center, San Francisco","123","20000 Merritt Drive, Cupertino","11/15/2016 - 12/15/2016, Every day, Daily Average",3210,2657,3877
"1277","300 Hayes Street, Civic Center, San Francisco","125","4300 Silva Court, Palo Alto","11/15/2016 - 12/15/2016, Every day, Daily Average",2694,2217,3273
"1277","300 Hayes Street, Civic Center, San Francisco","127","2000 Waverley Street, Old Palo Alto, Palo Alto","11/15/2016 - 12/15/2016, Every day, Daily Average",2532,2021,3171
"1277","300 Hayes Street, Civic Center, San Francisco","138","0 Maria Drive, Petaluma","11/15/2016 - 12/15/2016, Every day, Daily Average",2977,2528,3504
"1277","300 Hayes Street, Civic Center, San Francisco","151","500 20th Street, Downtown Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1429,1057,1931
"1277","300 Hayes Street, Civic Center, San Francisco","153","400 Giannini Drive, Santa Clara","11/15/2016 - 12/15/2016, Every day, Daily Average",3236,2692,3889
"1277","300 Hayes Street, Civic Center, San Francisco","155","400 North Mary Avenue, Sunnyvale West, Sunnyvale","11/15/2016 - 12/15/2016, Every day, Daily Average",2975,2310,3830
"1277","300 Hayes Street, Civic Center, San Francisco","165","2200 Franklin Street, Pacific Heights, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",336,221,510
"1277","300 Hayes Street, Civic Center, San Francisco","176","500 Hull Avenue, Central San Jose, San Jose","11/15/2016 - 12/15/2016, Every day, Daily Average",3580,2932,4369
"1277","300 Hayes Street, Civic Center, San Francisco","181","3400 Richmond Boulevard, Oakland Ave - Harrison St, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1255,885,1779
"1277","300 Hayes Street, Civic Center, San Francisco","184","0 South Almaden Boulevard, Central San Jose, San Jose","11/15/2016 - 12/15/2016, Every day, Daily Average",3360,2768,4077
"1277","300 Hayes Street, Civic Center, San Francisco","186","1800 Vicente Street, Sunset District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1299,1011,1667
"1277","300 Hayes Street, Civic Center, San Francisco","194","600 Aileen Street, Upper Telegraph, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1412,1020,1953
"1277","300 Hayes Street, Civic Center, San Francisco","206","1300 15th Street, Mission District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",322,189,545
"1277","300 Hayes Street, Civic Center, San Francisco","207","1100 Guerrero Street, Mission District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",658,488,886
"1277","300 Hayes Street, Civic Center, San Francisco","208","600 Alabama Street, Mission District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",504,343,739
"1277","300 Hayes Street, Civic Center, San Francisco","209","300 Wilde Avenue, Visitacion Valley, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",681,456,1016
"1277","300 Hayes Street, Civic Center, San Francisco","210","100 Ramsell Street, Oceanview, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1012,704,1454
"1277","300 Hayes Street, Civic Center, San Francisco","211","200 16th Avenue, Richmond District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",938,717,1225
"1277","300 Hayes Street, Civic Center, San Francisco","212","500 Washington Street, Financial District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",904,633,1289
"1277","300 Hayes Street, Civic Center, San Francisco","216","3700 Lake Ontario Drive, Lakes and Birds, Fremont","11/15/2016 - 12/15/2016, Every day, Daily Average",2400,1928,2987
"1277","300 Hayes Street, Civic Center, San Francisco","232","1000 Beech Street, East Palo Alto","11/15/2016 - 12/15/2016, Every day, Daily Average",2377,1798,3142
"1277","300 Hayes Street, Civic Center, San Francisco","233","County Jail Road, San Bruno","11/15/2016 - 12/15/2016, Every day, Daily Average",1613,1238,2101
"1277","300 Hayes Street, Civic Center, San Francisco","234","100 Domestic Terminals Departures Level, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1239,941,1629
"1277","300 Hayes Street, Civic Center, San Francisco","237","300 Orchard Avenue, Lowlanders, Sunnyvale","11/15/2016 - 12/15/2016, Every day, Daily Average",3018,2428,3750
"1277","300 Hayes Street, Civic Center, San Francisco","241","0 Pinheiro Circle, Novato","11/15/2016 - 12/15/2016, Every day, Daily Average",2263,1930,2652
"1277","300 Hayes Street, Civic Center, San Francisco","242","0 El Pavo Real Circle, San Rafael","11/15/2016 - 12/15/2016, Every day, Daily Average",1782,1479,2147
"1277","300 Hayes Street, Civic Center, San Francisco","264","300 Irwin Street, San Rafael","11/15/2016 - 12/15/2016, Every day, Daily Average",1614,1321,1970
"1277","300 Hayes Street, Civic Center, San Francisco","277","500 El Paseo Drive, Sobrante Park, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1716,1255,2345
"1277","300 Hayes Street, Civic Center, San Francisco","280","1600 Sutter Street, Concord","11/15/2016 - 12/15/2016, Every day, Daily Average",2284,1715,3040
"1277","300 Hayes Street, Civic Center, San Francisco","283","6100 San Pablo Avenue, Paradise Park, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1546,1035,2308
"1277","300 Hayes Street, Civic Center, San Francisco","284","300 45th Street, Temescal, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1484,1049,2097
"1277","300 Hayes Street, Civic Center, San Francisco","285","1600 Maritime Street, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1014,685,1500
