"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1686","Embarcadero, San Francisco, CA","2","400 Northumberland Avenue, Redwood Oaks, Redwood City","11/15/2016 - 12/15/2016, Every day, Daily Average",2747,2188,3448
"1686","Embarcadero, San Francisco, CA","9","500 Hyde Street, Tenderloin, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",934,668,1305
"1686","Embarcadero, San Francisco, CA","11","0 Mesa Vista Court, San Ramon","11/15/2016 - 12/15/2016, Every day, Daily Average",2817,2091,3794
"1686","Embarcadero, San Francisco, CA","20","900 Sutter Street, Lower Nob Hill, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",867,614,1223
"1686","Embarcadero, San Francisco, CA","21","3400 Pierce Street, Marina District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",887,649,1211
"1686","Embarcadero, San Francisco, CA","25","400 Bowline Drive, Vacaville","11/15/2016 - 12/15/2016, Every day, Daily Average",3782,3367,4247
"1686","Embarcadero, San Francisco, CA","30","2200 Central Avenue, Alameda","11/15/2016 - 12/15/2016, Every day, Daily Average",1857,1310,2631
"1686","Embarcadero, San Francisco, CA","31","5900 San Diego Street, El Cerrito","11/15/2016 - 12/15/2016, Every day, Daily Average",1381,1061,1795
"1686","Embarcadero, San Francisco, CA","39","Maxwell Al, Vallejo","11/15/2016 - 12/15/2016, Every day, Daily Average",2646,1918,3650
"1686","Embarcadero, San Francisco, CA","44","1700 Egbert Avenue, Bayview, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1517,1098,2093
"1686","Embarcadero, San Francisco, CA","46","500 Chester Street, West Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1186,824,1706
"1686","Embarcadero, San Francisco, CA","57","1700 Bayo Vista Avenue, San Pablo","11/15/2016 - 12/15/2016, Every day, Daily Average",1729,1207,2475
"1686","Embarcadero, San Francisco, CA","58","5600 Genoa Street, Santa Fe, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1533,1053,2230
"1686","Embarcadero, San Francisco, CA","60","33900 Emilia Lane, Ardenwood, Fremont","11/15/2016 - 12/15/2016, Every day, Daily Average",2621,2021,3399
"1686","Embarcadero, San Francisco, CA","61","5400 Ridgewood Drive, Ardenwood, Fremont","11/15/2016 - 12/15/2016, Every day, Daily Average",2639,2049,3398
"1686","Embarcadero, San Francisco, CA","64","5200 Selma Avenue, Centerville, Fremont","11/15/2016 - 12/15/2016, Every day, Daily Average",3005,2297,3930
"1686","Embarcadero, San Francisco, CA","65","42600 Everglades Park Drive, Blacow, Fremont","11/15/2016 - 12/15/2016, Every day, Daily Average",3001,2344,3840
"1686","Embarcadero, San Francisco, CA","73","2100 Fieldcrest Avenue, Fairfield","11/15/2016 - 12/15/2016, Every day, Daily Average",3528,3115,3994
"1686","Embarcadero, San Francisco, CA","78","1400 Thomas Avenue, Bayview, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1593,1178,2153
"1686","Embarcadero, San Francisco, CA","79","1500 California Street, Polk Gulch, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",742,516,1065
"1686","Embarcadero, San Francisco, CA","80","0 Farren Street, Western Addition, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1281,966,1698
"1686","Embarcadero, San Francisco, CA","81","0 Berkeley Way, Diamond Heights, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1660,1211,2275
"1686","Embarcadero, San Francisco, CA","82","2700 25th Street, Mission District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1062,722,1561
"1686","Embarcadero, San Francisco, CA","86","300 Ruth Avenue, Monta Loma, Mountain View","11/15/2016 - 12/15/2016, Every day, Daily Average",3379,2663,4287
"1686","Embarcadero, San Francisco, CA","87","2200 Wyandotte Street, Mountain View","11/15/2016 - 12/15/2016, Every day, Daily Average",2947,2353,3690
"1686","Embarcadero, San Francisco, CA","90","300 Heathcliff Drive, Westview, Pacifica","11/15/2016 - 12/15/2016, Every day, Daily Average",1842,1438,2358
"1686","Embarcadero, San Francisco, CA","91","700 Industrial Road, San Carlos","11/15/2016 - 12/15/2016, Every day, Daily Average",2312,1796,2976
"1686","Embarcadero, San Francisco, CA","96","2200 Bonar Street, Poets Corner, Berkeley","11/15/2016 - 12/15/2016, Every day, Daily Average",1324,992,1767
"1686","Embarcadero, San Francisco, CA","97","600 Hilldale Avenue, Berkeley Hills, Berkeley","11/15/2016 - 12/15/2016, Every day, Daily Average",1822,1351,2456
"1686","Embarcadero, San Francisco, CA","98","500 10th Street, Downtown Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1262,870,1828
"1686","Embarcadero, San Francisco, CA","99","2400 19th Avenue, Highland Terrace, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1631,1236,2150
"1686","Embarcadero, San Francisco, CA","100","3100 Overlook Way, Richmond","11/15/2016 - 12/15/2016, Every day, Daily Average",2337,1563,3492
"1686","Embarcadero, San Francisco, CA","102","500 Mount Street, East Richmond, Richmond","11/15/2016 - 12/15/2016, Every day, Daily Average",1614,1131,2301
"1686","Embarcadero, San Francisco, CA","103","35500 Ebro Court, Centerville, Fremont","11/15/2016 - 12/15/2016, Every day, Daily Average",2762,2133,3575
"1686","Embarcadero, San Francisco, CA","104","4300 Baine Avenue, Centerville, Fremont","11/15/2016 - 12/15/2016, Every day, Daily Average",2911,2274,3725
"1686","Embarcadero, San Francisco, CA","107","1900 Sandcreek Way, Alameda","11/15/2016 - 12/15/2016, Every day, Daily Average",2064,1586,2684
"1686","Embarcadero, San Francisco, CA","108","400 West Sunset Boulevard, Hayward","11/15/2016 - 12/15/2016, Every day, Daily Average",2105,1586,2792
"1686","Embarcadero, San Francisco, CA","113","1200 Hayes Street, Western Addition, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1405,1054,1871
"1686","Embarcadero, San Francisco, CA","117","100 Edgemar Street, Crocker, Daly City","11/15/2016 - 12/15/2016, Every day, Daily Average",1501,1158,1944
"1686","Embarcadero, San Francisco, CA","118","1500 Sunnyslope Avenue, Belmont","11/15/2016 - 12/15/2016, Every day, Daily Average",2475,1912,3203
"1686","Embarcadero, San Francisco, CA","119","1100 Rosewood Avenue, San Carlos","11/15/2016 - 12/15/2016, Every day, Daily Average",2649,2107,3328
