"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1718","300 Arballo Dr, San Francisco, CA","9","500 Hyde Street, Tenderloin, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1790,1334,2400
"1718","300 Arballo Dr, San Francisco, CA","20","900 Sutter Street, Lower Nob Hill, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1862,1402,2471
"1718","300 Arballo Dr, San Francisco, CA","21","3400 Pierce Street, Marina District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1895,1440,2493
"1718","300 Arballo Dr, San Francisco, CA","44","1700 Egbert Avenue, Bayview, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1209,832,1754
"1718","300 Arballo Dr, San Francisco, CA","46","500 Chester Street, West Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1969,1399,2770
"1718","300 Arballo Dr, San Francisco, CA","78","1400 Thomas Avenue, Bayview, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1410,1025,1937
"1718","300 Arballo Dr, San Francisco, CA","79","1500 California Street, Polk Gulch, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1964,1493,2582
"1718","300 Arballo Dr, San Francisco, CA","80","0 Farren Street, Western Addition, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1771,1462,2144
"1718","300 Arballo Dr, San Francisco, CA","81","0 Berkeley Way, Diamond Heights, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",865,642,1164
"1718","300 Arballo Dr, San Francisco, CA","82","2700 25th Street, Mission District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1123,802,1572
"1718","300 Arballo Dr, San Francisco, CA","87","2200 Wyandotte Street, Mountain View","11/15/2016 - 12/15/2016, Every day, Daily Average",2167,1740,2698
"1718","300 Arballo Dr, San Francisco, CA","90","300 Heathcliff Drive, Westview, Pacifica","11/15/2016 - 12/15/2016, Every day, Daily Average",763,517,1124
"1718","300 Arballo Dr, San Francisco, CA","91","700 Industrial Road, San Carlos","11/15/2016 - 12/15/2016, Every day, Daily Average",1590,1215,2080
"1718","300 Arballo Dr, San Francisco, CA","98","500 10th Street, Downtown Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",1981,1363,2877
"1718","300 Arballo Dr, San Francisco, CA","113","1200 Hayes Street, Western Addition, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1530,1243,1882
