"Origin Movement ID","Origin Display Name","Destination Movement ID","Destination Display Name","Date Range","Mean Travel Time (Seconds)","Range - Lower Bound Travel Time (Seconds)","Range - Upper Bound Travel Time (Seconds)"
"1292","Presidio of San Francisco, San Francisco, CA","8","700 Carlsbad Court, Petaluma","11/15/2016 - 12/15/2016, Every day, Daily Average",2396,1873,3064
"1292","Presidio of San Francisco, San Francisco, CA","9","500 Hyde Street, Tenderloin, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1171,916,1496
"1292","Presidio of San Francisco, San Francisco, CA","20","900 Sutter Street, Lower Nob Hill, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",986,741,1310
"1292","Presidio of San Francisco, San Francisco, CA","21","3400 Pierce Street, Marina District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",371,246,558
"1292","Presidio of San Francisco, San Francisco, CA","26","Cornell Street, Sonoma","11/15/2016 - 12/15/2016, Every day, Daily Average",3404,2664,4349
"1292","Presidio of San Francisco, San Francisco, CA","44","1700 Egbert Avenue, Bayview, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",2138,1734,2635
"1292","Presidio of San Francisco, San Francisco, CA","46","500 Chester Street, West Oakland, Oakland","11/15/2016 - 12/15/2016, Every day, Daily Average",2192,1667,2881
"1292","Presidio of San Francisco, San Francisco, CA","75","0 Napa Road, Sonoma","11/15/2016 - 12/15/2016, Every day, Daily Average",3187,2436,4168
"1292","Presidio of San Francisco, San Francisco, CA","79","1500 California Street, Polk Gulch, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",945,712,1252
"1292","Presidio of San Francisco, San Francisco, CA","80","0 Farren Street, Western Addition, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",788,576,1076
"1292","Presidio of San Francisco, San Francisco, CA","81","0 Berkeley Way, Diamond Heights, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1500,1152,1951
"1292","Presidio of San Francisco, San Francisco, CA","82","2700 25th Street, Mission District, San Francisco","11/15/2016 - 12/15/2016, Every day, Daily Average",1542,1146,2074
"1292","Presidio of San Francisco, San Francisco, CA","83","300 Mason Street, Healdsburg","11/15/2016 - 12/15/2016, Every day, Daily Average",4533,3587,5727
